time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-03 00:00:00+00:00,0,0,19,8
2025-01-04 00:00:00+00:00,0,0,20,9
2025-01-05 00:00:00+00:00,0,0,7,5
2025-01-06 00:00:00+00:00,1,1,81,11
2025-01-07 00:00:00+00:00,1,1,58,7
2025-01-08 00:00:00+00:00,0,0,12,9
2025-01-09 00:00:00+00:00,5,1,22,6
2025-01-10 00:00:00+00:00,1,1,22,14
2025-01-11 00:00:00+00:00,1,1,36,3
2025-01-12 00:00:00+00:00,0,0,2,2
2025-01-13 00:00:00+00:00,1,1,76,16
2025-01-14 00:00:00+00:00,1,1,29,10
2025-01-15 00:00:00+00:00,2,1,27,13
2025-01-16 00:00:00+00:00,5,4,79,12
2025-01-17 00:00:00+00:00,3,2,18,9
2025-01-18 00:00:00+00:00,1,1,6,4
2025-01-19 00:00:00+00:00,0,0,6,4
2025-01-20 00:00:00+00:00,1,1,40,11
2025-01-21 00:00:00+00:00,1,1,22,4
2025-01-22 00:00:00+00:00,2,1,18,9
2025-01-23 00:00:00+00:00,2,1,25,11
2025-01-24 00:00:00+00:00,3,2,14,8
2025-01-25 00:00:00+00:00,1,1,11,7
2025-01-26 00:00:00+00:00,1,1,10,7
2025-01-27 00:00:00+00:00,1,1,9,7
2025-01-28 00:00:00+00:00,3,1,18,10
2025-01-29 00:00:00+00:00,2,2,23,10
2025-01-30 00:00:00+00:00,2,2,10,8
2025-01-31 00:00:00+00:00,9,4,47,10
2025-02-01 00:00:00+00:00,9,5,10,6
2025-02-02 00:00:00+00:00,5,3,6,6
2025-02-03 00:00:00+00:00,9,4,38,16
2025-02-04 00:00:00+00:00,10,3,14,12
2025-02-05 00:00:00+00:00,11,4,5,5
2025-02-06 00:00:00+00:00,11,5,20,11
2025-02-07 00:00:00+00:00,12,5,46,11
2025-02-08 00:00:00+00:00,4,2,8,5
2025-02-09 00:00:00+00:00,5,2,13,5
2025-02-10 00:00:00+00:00,5,3,21,7
2025-02-11 00:00:00+00:00,7,4,29,17
2025-02-12 00:00:00+00:00,15,6,23,12
2025-02-13 00:00:00+00:00,7,3,15,11
2025-02-14 00:00:00+00:00,7,3,9,8
2025-02-15 00:00:00+00:00,1,1,9,7
2025-02-16 00:00:00+00:00,1,1,5,3
2025-02-17 00:00:00+00:00,5,2,14,8
2025-02-18 00:00:00+00:00,6,3,13,10
2025-02-19 00:00:00+00:00,15,7,76,17
2025-02-20 00:00:00+00:00,1,1,32,14
2025-02-21 00:00:00+00:00,10,4,54,12
2025-02-22 00:00:00+00:00,5,3,5,4
2025-02-23 00:00:00+00:00,1,1,12,9
2025-02-24 00:00:00+00:00,6,3,35,12
2025-02-25 00:00:00+00:00,4,3,33,12
2025-02-26 00:00:00+00:00,7,4,20,14
2025-02-27 00:00:00+00:00,7,3,41,19
2025-02-28 00:00:00+00:00,2,2,47,12
2025-03-01 00:00:00+00:00,4,2,3,3
2025-03-02 00:00:00+00:00,3,2,30,6
2025-03-03 00:00:00+00:00,8,3,11,9
2025-03-04 00:00:00+00:00,3,3,9,8
2025-03-05 00:00:00+00:00,11,4,22,12
2025-03-06 00:00:00+00:00,2,2,34,14
2025-03-07 00:00:00+00:00,1,1,16,7
2025-03-08 00:00:00+00:00,5,3,21,4
2025-03-09 00:00:00+00:00,5,2,4,3
2025-03-10 00:00:00+00:00,4,2,9,7
2025-03-11 00:00:00+00:00,10,6,47,14
2025-03-12 00:00:00+00:00,4,2,46,15
2025-03-13 00:00:00+00:00,4,3,135,22
2025-03-14 00:00:00+00:00,8,4,23,12
2025-03-15 00:00:00+00:00,3,2,11,5
2025-03-16 00:00:00+00:00,1,1,14,10
2025-03-17 00:00:00+00:00,5,2,12,10
2025-03-18 00:00:00+00:00,2,2,23,15
2025-03-19 00:00:00+00:00,45,5,36,9
2025-03-20 00:00:00+00:00,8,4,19,10
2025-03-21 00:00:00+00:00,2,2,59,19
2025-03-22 00:00:00+00:00,4,3,9,2
2025-03-23 00:00:00+00:00,6,3,13,5
2025-03-24 00:00:00+00:00,1,1,16,12
2025-03-25 00:00:00+00:00,5,4,9,9
2025-03-26 00:00:00+00:00,1,1,17,10
2025-03-27 00:00:00+00:00,3,2,29,14
2025-03-28 00:00:00+00:00,15,3,16,8
2025-03-29 00:00:00+00:00,2,2,7,6
2025-03-30 00:00:00+00:00,6,3,11,5
2025-03-31 00:00:00+00:00,8,5,24,10
2025-04-01 00:00:00+00:00,7,5,9,7
2025-04-02 00:00:00+00:00,15,9,37,18
2025-04-03 00:00:00+00:00,3,3,21,13
2025-04-04 00:00:00+00:00,5,3,43,12
2025-04-05 00:00:00+00:00,7,4,6,4
2025-04-06 00:00:00+00:00,7,4,5,5
2025-04-07 00:00:00+00:00,3,2,19,14
2025-04-08 00:00:00+00:00,2,2,32,16
2025-04-09 00:00:00+00:00,6,3,55,9
2025-04-10 00:00:00+00:00,2,2,10,10
2025-04-11 00:00:00+00:00,6,3,33,16
2025-04-12 00:00:00+00:00,5,3,13,7
2025-04-13 00:00:00+00:00,2,2,5,5
2025-04-14 00:00:00+00:00,3,2,46,15
2025-04-15 00:00:00+00:00,5,2,21,8
2025-04-16 00:00:00+00:00,1,1,25,17
2025-04-17 00:00:00+00:00,2,2,18,11
2025-04-18 00:00:00+00:00,17,7,4,3
2025-04-19 00:00:00+00:00,4,4,29,7
2025-04-20 00:00:00+00:00,4,3,11,8
2025-04-21 00:00:00+00:00,6,3,15,8
2025-04-22 00:00:00+00:00,5,3,34,11
2025-04-23 00:00:00+00:00,13,6,77,19
2025-04-24 00:00:00+00:00,10,5,32,16
2025-04-25 00:00:00+00:00,15,8,45,19
2025-04-26 00:00:00+00:00,2,2,18,6
2025-04-27 00:00:00+00:00,10,5,3,3
2025-04-28 00:00:00+00:00,14,8,48,12
2025-04-29 00:00:00+00:00,12,7,32,18
2025-04-30 00:00:00+00:00,23,10,24,12
2025-05-01 00:00:00+00:00,4,4,29,7
2025-05-02 00:00:00+00:00,6,4,11,5
2025-05-03 00:00:00+00:00,5,5,23,4
2025-05-04 00:00:00+00:00,11,7,25,6
2025-05-05 00:00:00+00:00,12,5,38,12
2025-05-06 00:00:00+00:00,7,5,50,14
2025-05-07 00:00:00+00:00,6,4,31,12
2025-05-08 00:00:00+00:00,5,4,28,13
2025-05-09 00:00:00+00:00,5,4,38,11
2025-05-10 00:00:00+00:00,7,5,10,4
2025-05-11 00:00:00+00:00,3,3,3,3
2025-05-12 00:00:00+00:00,4,3,22,13
2025-05-13 00:00:00+00:00,5,3,22,15
2025-05-14 00:00:00+00:00,5,3,15,12
2025-05-15 00:00:00+00:00,5,4,20,14
2025-05-16 00:00:00+00:00,2,2,10,5
2025-05-17 00:00:00+00:00,7,5,8,5
2025-05-18 00:00:00+00:00,6,4,4,4
2025-05-19 00:00:00+00:00,12,6,55,18
2025-05-20 00:00:00+00:00,11,4,29,15
2025-05-21 00:00:00+00:00,6,3,21,11
2025-05-22 00:00:00+00:00,14,5,52,17
2025-05-23 00:00:00+00:00,21,5,32,18
2025-05-24 00:00:00+00:00,8,2,9,6
2025-05-25 00:00:00+00:00,10,3,18,3
2025-05-26 00:00:00+00:00,13,4,4,4
2025-05-27 00:00:00+00:00,11,4,27,13
2025-05-28 00:00:00+00:00,8,2,16,10
2025-05-29 00:00:00+00:00,23,6,35,21
2025-05-30 00:00:00+00:00,12,3,50,14
2025-05-31 00:00:00+00:00,11,3,18,9
2025-06-01 00:00:00+00:00,8,2,13,4
2025-06-02 00:00:00+00:00,14,7,12,7
2025-06-03 00:00:00+00:00,11,3,30,15
2025-06-04 00:00:00+00:00,11,4,30,13
2025-06-05 00:00:00+00:00,17,5,13,10
2025-06-06 00:00:00+00:00,11,3,32,8
2025-06-07 00:00:00+00:00,12,4,13,5
2025-06-08 00:00:00+00:00,8,2,6,5
2025-06-09 00:00:00+00:00,10,3,19,15
2025-06-10 00:00:00+00:00,19,5,23,14
2025-06-11 00:00:00+00:00,12,5,27,17
2025-06-12 00:00:00+00:00,15,7,20,12
2025-06-13 00:00:00+00:00,13,7,14,9
2025-06-14 00:00:00+00:00,13,7,3,3
2025-06-15 00:00:00+00:00,10,3,24,8
2025-06-16 00:00:00+00:00,14,7,28,16
2025-06-17 00:00:00+00:00,10,4,21,9
2025-06-18 00:00:00+00:00,12,6,16,10
2025-06-19 00:00:00+00:00,8,2,14,9
